TIME_PERIOD,Mkt_RF,SMB,HML,RF
2004-08-31,0.07,-1.52,1.08,0.11
2004-09-30,1.6,3.01,-0.05,0.11
2004-10-31,1.42,0.13,-0.26,0.11
2004-11-30,4.53,3.74,1.57,0.15
2004-12-31,3.42,-0.03,-0.23,0.16
2005-01-31,-2.75,-1.66,2.06,0.16
2005-02-28,1.88,-0.57,1.41,0.16
2005-03-31,-1.94,-1.41,2.07,0.21
2005-04-30,-2.61,-3.93,0.05,0.21
2005-05-31,3.65,2.86,-0.58,0.24
2005-06-30,0.58,2.56,2.8,0.23
2005-07-31,3.92,2.87,-0.78,0.24
2005-08-31,-1.2,-1.07,1.34,0.3
2005-09-30,0.48,-0.62,0.78,0.29
2005-10-31,-2.04,-1.3,0.43,0.27
2005-11-30,3.61,1.05,-1.18,0.31
2005-12-31,-0.24,-0.44,0.15,0.32
2006-01-31,3.03,5.46,0.99,0.35
2006-02-28,-0.3,-0.41,-0.31,0.34
2006-03-31,1.47,3.39,0.61,0.37
2006-04-30,0.73,-1.38,2.26,0.36
2006-05-31,-3.56,-3.01,2.38,0.43
2006-06-30,-0.35,-0.35,0.85,0.4
2006-07-31,-0.77,-3.95,2.62,0.4
2006-08-31,2.03,0.99,-1.95,0.42
2006-09-30,1.84,-1.3,0.06,0.41
2006-10-31,3.22,1.77,-0.33,0.41
2006-11-30,1.7,0.63,0.04,0.42
2006-12-31,0.85,-1.16,2.74,0.4
2007-01-31,1.38,0.09,-0.68,0.44
2007-02-28,-1.96,1.23,-0.08,0.38
2007-03-31,0.71,0.09,-0.88,0.43
2007-04-30,3.49,-2.21,-1.44,0.44
2007-05-31,3.23,0.16,-0.59,0.41
2007-06-30,-1.96,0.73,-1.05,0.4
2007-07-31,-3.72,-2.66,-3.68,0.4
2007-08-31,0.94,-0.11,-1.87,0.42
2007-09-30,3.22,-2.25,-2.17,0.32
2007-10-31,1.79,0.19,-2.87,0.32
2007-11-30,-4.8,-2.81,-1.09,0.34
2007-12-31,-0.87,0.11,-0.51,0.27
2008-01-31,-6.33,-1.02,4.0,0.21
2008-02-29,-3.09,-0.48,-0.72,0.13
2008-03-31,-0.94,0.71,0.31,0.17
2008-04-30,4.61,-1.69,-0.96,0.18
2008-05-31,1.87,2.97,-1.5,0.18
2008-06-30,-8.43,1.15,-2.51,0.17
2008-07-31,-0.75,2.6,5.2,0.15
2008-08-31,1.53,3.4,1.52,0.13
2008-09-30,-9.35,-1.07,5.66,0.15
2008-10-31,-17.2,-2.31,-1.89,0.08
2008-11-30,-7.74,-3.01,-6.21,0.03
2008-12-31,1.77,3.52,0.05,0.0
2009-01-31,-8.09,0.04,-11.02,0.0
2009-02-28,-10.14,0.14,-6.6,0.01
2009-03-31,9.01,-0.1,3.48,0.02
2009-04-30,10.17,5.4,5.38,0.01
2009-05-31,5.21,-2.41,0.41,0.0
2009-06-30,0.42,2.58,-2.76,0.01
2009-07-31,7.74,1.75,4.89,0.01
2009-08-31,3.33,-1.12,7.6,0.01
2009-09-30,4.08,2.43,1.15,0.01
2009-10-31,-2.53,-4.26,-4.17,0.0
2009-11-30,5.63,-2.5,-0.33,0.0
2009-12-31,2.8,6.01,-0.11,0.01
2010-01-31,-3.35,0.43,0.33,0.0
2010-02-28,3.39,1.18,3.18,0.0
2010-03-31,6.3,1.46,2.19,0.01
2010-04-30,1.99,4.84,2.96,0.01
2010-05-31,-7.9,0.13,-2.48,0.01
2010-06-30,-5.56,-1.79,-4.73,0.01
2010-07-31,6.92,0.22,-0.5,0.01
2010-08-31,-4.78,-3.01,-1.73,0.01
2010-09-30,9.55,3.82,-3.02,0.01
2010-10-31,3.87,1.08,-2.46,0.01
2010-11-30,0.59,3.67,-0.9,0.01
2010-12-31,6.82,0.72,3.56,0.01
2011-01-31,1.98,-2.29,0.61,0.01
2011-02-28,3.48,1.5,1.18,0.01
2011-03-31,0.45,2.49,-1.84,0.01
2011-04-30,2.9,-0.42,-2.44,0.0
2011-05-31,-1.27,-0.73,-1.85,0.0
2011-06-30,-1.74,-0.27,-0.2,0.0
2011-07-31,-2.35,-1.17,-0.91,0.0
2011-08-31,-5.96,-2.96,-2.43,0.01
2011-09-30,-7.58,-3.12,-1.53,0.0
2011-10-31,11.33,3.05,0.06,0.0
2011-11-30,-0.27,-0.18,-0.52,0.0
2011-12-31,0.75,-0.56,1.54,0.0
2012-01-31,5.05,2.01,-0.93,0.0
2012-02-29,4.42,-1.84,0.42,0.0
2012-03-31,3.12,-0.63,1.19,0.0
2012-04-30,-0.85,-0.37,-0.77,0.0
2012-05-31,-6.17,0.12,-0.95,0.01
2012-06-30,3.89,0.72,0.55,0.0
2012-07-31,0.79,-2.76,-0.06,0.0
2012-08-31,2.54,0.5,1.23,0.01
2012-09-30,2.73,0.45,1.62,0.01
2012-10-31,-1.76,-1.09,3.52,0.01
2012-11-30,0.78,0.6,-0.86,0.01
2012-12-31,1.18,1.5,3.48,0.01
2013-01-31,5.57,0.29,1.01,0.0
2013-02-28,1.28,-0.3,0.21,0.0
2013-03-31,4.04,0.83,-0.22,0.0
2013-04-30,1.56,-2.37,0.44,0.0
2013-05-31,2.8,1.7,2.67,0.0
2013-06-30,-1.2,1.31,-0.05,0.0
2013-07-31,5.65,1.81,0.58,0.0
2013-08-31,-2.71,0.32,-2.73,0.0
2013-09-30,3.77,2.89,-1.18,0.0
2013-10-31,4.17,-1.56,1.22,0.0
2013-11-30,3.11,1.31,0.19,0.0
2013-12-31,2.81,-0.44,0.0,0.0
2014-01-31,-3.32,0.93,-1.99,0.0
2014-02-28,4.66,0.36,-0.35,0.0
2014-03-31,0.43,-1.86,4.9,0.0
2014-04-30,-0.18,-4.18,1.22,0.0
2014-05-31,2.05,-1.85,-0.1,0.0
2014-06-30,2.6,3.05,-0.71,0.0
2014-07-31,-2.03,-4.18,-0.08,0.0
2014-08-31,4.24,0.41,-0.57,0.0
2014-09-30,-1.96,-3.59,-1.47,0.0
2014-10-31,2.51,4.05,-1.63,0.0
2014-11-30,2.56,-2.05,-3.13,0.0
2014-12-31,-0.05,2.53,2.12,0.0
2015-01-31,-3.1,-0.59,-3.45,0.0
2015-02-28,6.13,0.61,-1.79,0.0
2015-03-31,-1.11,3.05,-0.38,0.0
2015-04-30,0.59,-2.99,1.8,0.0
2015-05-31,1.37,0.95,-1.11,0.0
2015-06-30,-1.52,2.94,-0.82,0.0
2015-07-31,1.57,-4.17,-4.16,0.0
2015-08-31,-6.02,0.37,2.75,0.0
2015-09-30,-3.06,-2.63,0.55,0.0
2015-10-31,7.75,-1.9,-0.47,0.0
2015-11-30,0.57,3.58,-0.43,0.0
2015-12-31,-2.15,-2.8,-2.57,0.01
2016-01-31,-5.74,-3.4,2.08,0.01
2016-02-29,-0.06,0.73,-0.61,0.02
2016-03-31,6.95,0.75,1.22,0.02
2016-04-30,0.92,0.77,3.22,0.01
2016-05-31,1.78,-0.18,-1.62,0.01
2016-06-30,-0.03,0.6,-1.49,0.02
2016-07-31,3.94,2.45,-1.24,0.02
2016-08-31,0.49,1.17,3.17,0.02
2016-09-30,0.27,2.08,-1.19,0.02
2016-10-31,-2.01,-4.39,4.11,0.02
2016-11-30,4.86,5.6,8.29,0.01
2016-12-31,1.81,0.14,3.47,0.03
2017-01-31,1.94,-1.16,-2.76,0.04
2017-02-28,3.55,-2.15,-1.5,0.04
2017-03-31,0.17,1.13,-3.33,0.03
2017-04-30,1.08,0.66,-2.05,0.05
2017-05-31,1.07,-2.52,-3.82,0.06
2017-06-30,0.79,2.21,1.5,0.06
2017-07-31,1.88,-1.45,-0.23,0.07
2017-08-31,0.18,-1.67,-2.13,0.09
2017-09-30,2.49,4.45,3.15,0.09
2017-10-31,2.26,-1.93,0.13,0.09
2017-11-30,3.12,-0.6,-0.09,0.08
2017-12-31,1.06,-1.32,0.05,0.09
2018-01-31,5.58,-3.16,-1.32,0.11
2018-02-28,-3.64,0.27,-1.1,0.11
2018-03-31,-2.35,4.05,-0.21,0.12
2018-04-30,0.27,1.09,0.53,0.14
2018-05-31,2.66,5.24,-3.14,0.14
2018-06-30,0.49,1.11,-2.33,0.14
2018-07-31,3.2,-2.23,0.49,0.16
2018-08-31,3.45,1.14,-3.91,0.16
2018-09-30,0.06,-2.29,-1.62,0.15
2018-10-31,-7.65,-4.7,3.38,0.19
2018-11-30,1.71,-0.73,0.36,0.18
2018-12-31,-9.55,-2.31,-1.92,0.19
2019-01-31,8.37,2.76,-0.39,0.21
2019-02-28,3.42,2.05,-2.66,0.18
2019-03-31,1.1,-3.03,-4.14,0.19
2019-04-30,3.97,-1.74,2.13,0.21
2019-05-31,-6.92,-1.26,-2.45,0.21
2019-06-30,6.92,0.26,-0.64,0.18
2019-07-31,1.23,-1.96,0.5,0.19
2019-08-31,-2.55,-2.39,-4.77,0.16
2019-09-30,1.41,-0.97,6.76,0.18
2019-10-31,2.07,0.27,-1.92,0.15
2019-11-30,3.87,0.72,-2.0,0.12
2019-12-31,2.77,0.76,1.73,0.14
2020-01-31,-0.11,-3.1,-6.22,0.13
2020-02-29,-8.15,1.08,-3.82,0.12
2020-03-31,-13.37,-4.69,-13.83,0.12
2020-04-30,13.6,2.5,-1.34,0.0
2020-05-31,5.57,2.4,-5.0,0.01
2020-06-30,2.45,2.67,-2.17,0.01
2020-07-31,5.83,-2.35,-1.44,0.01
2020-08-31,7.62,-0.2,-3.02,0.01
2020-09-30,-3.64,0.06,-2.72,0.01
2020-10-31,-2.08,4.34,4.25,0.01
2020-11-30,12.45,5.81,2.09,0.01
2020-12-31,4.63,5.01,-1.68,0.01
2021-01-31,-0.07,7.14,3.22,0.0
2021-02-28,2.81,2.02,7.2,0.0
2021-03-31,3.16,-2.33,7.35,0.0
2021-04-30,4.95,-3.19,-1.02,0.0
2021-05-31,0.3,-0.2,7.04,0.0
2021-06-30,2.74,1.7,-7.86,0.0
2021-07-31,1.34,-3.93,-1.79,0.0
2021-08-31,2.94,-0.32,-0.23,0.0
2021-09-30,-4.4,0.66,5.12,0.0
2021-10-31,6.63,-2.27,-0.53,0.0
2021-11-30,-1.58,-1.31,-0.37,0.0
2021-12-31,3.23,-1.63,3.26,0.01
2022-01-31,-6.16,-5.93,12.86,0.0
2022-02-28,-2.28,2.16,3.06,0.0
2022-03-31,3.08,-1.55,-1.9,0.0
2022-04-30,-9.41,-1.35,6.18,0.0
2022-05-31,-0.34,-1.84,8.44,0.03
2022-06-30,-8.4,2.07,-6.0,0.06
2022-07-31,9.57,2.84,-4.15,0.08
2022-08-31,-3.77,1.41,0.18,0.19
2022-09-30,-9.34,-0.76,0.03,0.19
2022-10-31,7.85,0.01,7.97,0.23
2022-11-30,4.65,-3.57,1.48,0.29
2022-12-31,-6.38,-0.76,1.34,0.33
2023-01-31,6.61,5.01,-3.94,0.35
2023-02-28,-2.57,1.05,-0.8,0.34
2023-03-31,2.48,-5.48,-9.05,0.36
2023-04-30,0.62,-3.37,-0.12,0.35
2023-05-31,0.34,1.6,-7.79,0.36
2023-06-30,6.46,1.49,-0.13,0.4
2023-07-31,3.21,2.05,4.06,0.45
2023-08-31,-2.36,-3.14,-1.15,0.45
2023-09-30,-5.23,-2.51,1.49,0.43
2023-10-31,-3.15,-3.86,0.2,0.47
2023-11-30,8.88,-0.1,1.67,0.44
2023-12-31,4.85,6.3,4.89,0.43
2024-01-31,0.73,-5.07,-2.38,0.47
2024-02-29,5.07,-0.24,-3.43,0.42
2024-03-31,2.84,-2.5,4.16,0.43
2024-04-30,-4.65,-2.37,-0.45,0.47
2024-05-31,4.33,0.55,-1.31,0.44
2024-06-30,2.8,-3.0,-3.36,0.41
2024-07-31,1.22,6.81,5.62,0.45
2024-08-31,1.6,-3.49,-1.1,0.48
2024-09-30,1.72,-0.13,-2.77,0.4
2024-10-31,-1.0,-0.99,0.86,0.39
2024-11-30,6.49,4.46,0.15,0.4
2024-12-31,-3.17,-2.71,-3.0,0.37
2025-01-31,2.8,-1.97,1.63,0.37
2025-02-28,-2.44,-5.79,4.91,0.33
2025-03-31,-6.39,-2.76,2.9,0.34
2025-04-30,-0.84,-0.59,-3.4,0.35
2025-05-31,6.06,0.7,-2.88,0.38
2025-06-30,4.86,0.83,-1.6,0.34
2025-07-31,1.98,0.27,-1.27,0.34
2025-08-31,1.85,3.87,4.41,0.38
