TIME_PERIOD,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2009-09-30,0.5773169832037239,0.3160848408314381,12.853037523729741,-2.379597551313594,11.939793818885368,0.3292902427927488
2019-02-28,2.9078860244020883,-3.2898860244026036,10.440167642757697,-13.501418803828352,3.245017371625516,3.445141895877109
2009-07-31,0.05757048606694766,0.9935366782351372,13.90774013876165,-2.7986110099497465,12.875520814381524,0.3032489398637057
2018-10-31,2.4272830794168887,-2.937019378691568,39.988737852644206,-40.38428846443052,3.77540849327828,3.8165442068942212
2010-05-31,1.230131513665966,-0.8896598577156889,19.720135348539547,-8.942475331670558,7.99533250149361,5.607632719732201
2018-11-30,2.7743226897905755,-3.3270962571085256,39.61463466536606,-40.7429469484212,3.9819194899263994,4.0121624166198036
2007-11-30,5.089307026106054,-1.2136751479301398,1.125323694302635,-3.5814906033091862,1.5369685759354121,2.3993222859457113
2013-07-31,4.621191234864712,-4.611191234861545,39.3025014293661,-45.00180615934598,0.96814145777346,1.0566655050162683
2012-05-31,4.72186972404166,-4.711869724042002,-96.94198125091634,95.47171626098806,0.9644556123481451,0.9164003287042145
2007-08-31,4.953099885884581,-1.1394807166748064,0.9231223051958586,-2.433675847760576,1.2459190444622328,2.3574248558355313
2004-10-31,5.2956298116510485,-3.2963308052556815,1.530912965763253,-0.9929599594077012,5.788138915506584,2.1096159449589797
2015-10-31,2.732473121795656,-2.9904731217980074,38.19582081396544,-42.9637658872021,1.5739460158979486,1.670264923341832
2008-06-30,5.343559083804077,-1.3568698184692924,5.5455247416542575,-5.804283613147902,1.4589883314722407,1.9429125441309534
2017-10-31,2.6727311752056724,-3.260731175205275,37.82679506271497,-42.746741128302006,1.6428286096646132,1.7190850097133088
2011-07-31,5.426607617319904,-5.281564242548822,63.41690909733698,-64.97961380179144,0.8619850757125695,0.9247366906403484
2020-10-31,0.9730688014235465,-1.5960688014113977,7.855779819984113,-10.510368382483987,2.30653424233521,2.5831515857301635
2023-02-28,1.9192839284,0.32090636199000006,5.116665905772413,2.8283138604007005,13.295636261283931,0.5991218709549626
2009-04-30,0.01,1.2568071566759136,13.510876110350202,-2.3811618187201056,11.958498203205023,0.35161603483793996
2007-10-31,4.899898620076989,-1.1105651709061557,1.4340550971444943,-2.783595102912833,1.2691527781850693,2.344398674017142
2023-07-31,1.8013760582,1.5406018029,2.7430369462,5.1688307326,0.5595197286,13.3344843885
2020-08-31,1.382859238349687,-1.917273533263146,7.974634226473356,-10.530747532122687,3.065635642244916,3.2971586791505123
2019-05-31,2.764445606212688,-3.2306573419835978,9.996474020070785,-13.798546217699604,3.254052153421835,3.891456831448358
2005-11-30,4.1815922935587855,-2.001774810134819,2.761823338055133,-4.579412166706322,1.1478470418403388,1.7020328370036586
2017-06-30,2.7772030771523912,-3.3332030771520214,38.03534571516412,-42.656856444288195,1.7334115576537743,1.8026567307495858
2019-12-31,2.3137138091481337,-2.870713808942918,18.928714706822657,-21.391155829933563,5.0960242859149805,5.207610587525984
2013-02-28,4.619575458759329,-4.609575458760039,40.213516783477765,-44.805446823464955,1.1867130105961579,1.276196249269397
2022-04-30,2.3769600000143463,-1.6634831577859828,-0.936393108808171,-4.290070430227775,2.7447611319181884,0.25
2022-02-28,1.8099459522278694,-2.2424387077874934,-1.34958102368836,-1.0731179960544388,2.8467469981755,0.3868409431384346
2005-12-31,4.042521518092484,-1.8597526567541014,2.8801650542250177,-4.309137500943344,1.3550365114179619,2.1962227320892254
2011-12-31,5.5688632708202945,-5.558863270863629,62.637564833200585,-64.4499726928386,1.0561699624447525,1.1367423176704925
2014-06-30,3.9340865153696094,-3.924086515363912,40.407353963004915,-46.60841960378113,1.3342488765799225,1.4460154527803712
2013-10-31,4.558201419365784,-4.548201419369227,40.737908108698406,-46.42185592747583,1.2604224585764388,1.3590866669751407
2005-02-28,4.426652487634829,-2.4814303266276125,2.366396410579225,-0.6047536045200802,6.20223274254855,3.5369603159939302
2005-07-31,3.798017501934401,-1.7793450928207366,3.45606627232087,-2.0268284616061356,7.206119628007878,3.1822469910871054
2008-04-30,3.069505252406318,0.8860507773082097,8.973049158845683,-5.244135549175598,10.76644499505674,5.868835709524512
2006-06-30,4.741776183670225,-2.2066232613360297,2.8386599674364774,-3.687075916604306,1.149451937637483,2.0111247767335962
2023-03-31,1.71909182328143,1.2600905569585699,33.1032282795059,-30.003938565899745,7.248500722534471,6.450141234428893
2005-08-31,3.7374854389574557,-1.7113427355160693,3.2049067796524033,-2.010580706983371,7.403721626049418,3.486005898562213
2020-05-31,1.667269807683891,-2.095269807672782,7.966228813910182,-10.905393586425339,2.8907692257128663,3.2341141263020874
2010-03-31,3.816551273874192,-3.559023217953747,9.532280472747296,-5.206742311231308,5.118274022366714,2.9590250776838856
2016-07-31,1.6887783969373327,-2.165778396923732,38.72505746914087,-42.26460649718048,1.5703305171475728,1.6568849477525447
2024-01-31,2.5119545878,1.7181279555,-3.5953256131,3.2294609784,1.6142933941,15.1649807042
2012-01-31,5.447934082894785,-5.437934082895934,61.57763941702065,-65.56850923411028,1.0122924378029832,1.0850060359325415
2009-10-31,0.07457441702420366,0.7361935004432177,14.070290338821607,-1.7710225271596907,12.511768770228045,0.29094617429133024
2024-10-31,1.7097573508,1.6241008214,-0.8985361163,5.4891191032,0.8253054094,12.5663010191
2012-06-30,5.167522991609335,-5.157522991610303,-97.4267612567094,95.12111863500749,0.9547382363812761,0.8989597231114539
2012-02-29,5.188390150990133,-5.178390150989117,-98.78764708798201,93.87751859623799,1.0960295300839407,1.0634589764084352
2020-12-31,0.9890275874869985,-1.6783603847144815,11.09821086231111,-13.715138739924987,2.417859379639513,2.664517475739059
2016-01-31,2.6368725150850416,-2.936872515133985,38.04062122550769,-43.00607032523182,1.6006279324116042,1.7054018159804316
2020-06-30,1.495364469149906,-1.9691212420129756,7.990327138259845,-10.783601868173282,3.181264889282707,3.423062929040934
2005-03-31,4.444510984625625,-2.4639250465393463,2.364419171491438,-0.7694864878657833,6.387412764772706,3.385601214111722
2006-08-31,4.476343424700945,-1.7401379263234453,0.1730386143859408,-2.57344777041069,0.4445037503785026,2.526180512998098
2007-12-31,5.0250745338993665,-1.2727547554197562,1.4476425261887527,-3.1142891685888228,1.1283693403652357,2.0667663650290735
2017-09-30,2.7446293124447014,-3.3446293124450914,37.7543428410616,-42.857542925559294,1.4257864886680267,1.5076467665673212
2016-10-31,2.2129198179234915,-2.852919817924296,38.53681992984662,-42.400356847288855,1.6585063674951461,1.7559053803519789
2019-10-31,1.8204125205912123,-2.3374125206037557,15.089005955757187,-18.197897739179677,3.4312759563627173,3.686050437733663
2022-01-31,1.590105266566134,-2.132635846892223,-1.7137113242872983,-0.48767995570435635,3.0978271187048714,0.33945992721971546
2019-04-30,2.921855532736592,-3.3318555327322326,10.103929493373741,-13.676668278908291,3.5810523283505216,4.020681694254828
2019-09-30,1.6159521223464695,-2.1558328543364245,15.063473645999682,-18.271255188965288,3.1567944341586704,3.4018538414091695
2021-07-31,1.3238502272054435,-1.9388245828639907,5.600533290772973,-9.073511332197008,2.0811662403169304,2.487809785212291
2021-08-31,1.3934446866608496,-2.0344446866633246,5.63465806643152,-9.030735935635088,2.175072594219849,2.5710683844698545
2010-07-31,1.0306231606596041,-0.48714676046527566,20.186308024519985,-9.784480428727111,7.509914982091076,4.960977485903986
2021-10-31,1.368176992023656,-2.019176992016868,6.256098099148056,-8.031959350954654,2.820630110500094,2.7975217480506003
2017-07-31,2.8686754217505173,-3.392406853669986,37.8982996261108,-42.74946564872106,1.821872672021845,1.8825412298009088
2014-07-31,3.7430390755309126,-3.733039075534742,40.51136898523624,-46.498993329419186,1.3665018110203226,1.470021990711749
2016-04-30,2.64180851621211,-3.0788085162178955,38.13260556284224,-42.876177204085145,1.6477456227778062,1.7523559778604896
2006-12-31,4.312301706121207,-1.0226599333437822,0.8074690796536241,-1.4558249831298133,0.7278868259997272,2.391660093908986
2010-12-31,4.467861196708541,-3.675703461176852,18.160409375345743,-13.659904901309245,5.500181689173346,5.213840524611602
2019-01-31,2.8093987569252294,-3.226398756925401,10.556005580125044,-13.480587817598408,3.281420242846444,3.4529872503972046
2010-11-30,4.242265405803352,-3.002684909364782,17.308233966827135,-14.520210709113947,4.432719763951779,3.7239160744290034
2011-04-30,5.386752172092165,-4.9167328093595675,13.861706572551556,-17.190236046279026,0.8274136975914065,0.9931315695235249
2011-09-30,5.297097420692897,-5.287097420700293,62.60601630096858,-64.52402579640625,1.030021487809821,1.1184530703366888
2021-02-28,1.402181120996711,-1.937181121008351,6.08464180108057,-9.09847203652053,2.2636400399567185,2.5595465082547664
2021-06-30,1.5568597923168503,-2.157967718931917,5.615414585728049,-9.081409117235355,2.081015142255133,2.4305777718390993
2021-05-31,1.6318488905962534,-2.226848890578049,5.702466191721033,-9.09200050031626,2.2250903149935857,2.529027859953812
2017-08-31,2.740611375207231,-3.2739124819406644,37.940029536354366,-42.69462375546779,1.8405981946301553,1.9075540551247427
2013-01-31,4.524754301923298,-4.514754301925799,40.316375026579934,-44.750260458576044,1.125706339856622,1.2099106386080671
2006-11-30,4.122159162543592,-0.9568577730009319,0.28919926561085063,-1.5719322719189508,0.4191894224861237,2.563410956405665
2017-01-31,2.8733622182651457,-3.338362218268939,37.726909874745445,-43.092847517109256,1.4094589720051585,1.4995270983336153
2017-02-28,2.7173356783421356,-3.2763356783594824,37.8911724468134,-42.92342333999241,1.556185269010437,1.6427778240007749
2020-02-29,2.5940986889842828,-3.124913702277712,8.663316702294786,-11.358715380650578,8.95667012226724,9.011631399643395
2014-05-31,3.951864701075135,-3.941864701035703,43.018689914079886,-48.88273719379109,1.2148785834869937,1.3202181669106863
2008-09-30,5.325862801702799,-1.6361612115714534,4.583988627371671,-6.526773291567495,2.4269307527771296,2.4320363440422943
2014-12-31,3.063144418102317,-3.0531444180815863,40.957007434566776,-45.700076724733755,1.8773240420000399,1.9852053201080408
2016-02-29,2.4503892716735938,-2.7423892716711937,38.16306203480363,-42.893825237898405,1.637467882218906,1.7361870672890074
2024-05-31,2.0786115011,1.7476047044,-1.1286845152,4.7273090925,1.9687465054,15.1345292855
2005-01-31,4.369204277581326,-2.3995457867317356,2.2436139317346,-1.0728571242141953,6.0954888870789015,3.1848011152504974
2011-03-31,5.554965571073528,-5.27106678078063,14.303073950027656,-16.76341686488534,1.1264658408513253,1.3239852640417924
2013-06-30,4.464945301306069,-4.454945301306634,40.249597286694204,-44.881419598052965,0.9817600810237332,1.0584423427988492
2022-03-31,1.915889739489525,-1.7340482649005382,-0.5668742895806796,-3.013193418901944,3.0221573847156398,0.2797080715018793
2011-10-31,5.7128916071800875,-5.70289160718145,62.73595914271201,-64.3357346729895,0.9604546320867804,1.0638379191901874
2010-09-30,5.223576866100543,-4.496329671670096,14.631837217269078,-16.144500860672746,3.37997783114458,3.194284818062719
2006-02-28,4.100341467091204,-1.7757332844456104,3.1408224824314974,-3.9292437025873377,1.4690223235789464,2.063122932712125
2018-03-31,2.430598476247926,-2.9445094864476022,38.609295507503866,-41.937180424127554,2.427868026847603,2.4156088793222077
2009-08-31,0.6257049483865281,0.8130265498424628,12.157349754340762,-4.1553695496261875,13.460323192891424,0.296781619526825
2023-10-31,1.9056423859,2.0251301636,1.4467393969,6.7647984128,0.5884353281,14.2260521405
2011-06-30,5.31613099051366,-4.397714414450591,13.541660373609915,-17.328130101327766,0.878583814297615,1.036558443761528
2011-08-31,5.411563538082223,-5.359698312203793,62.43637981072143,-64.69682739457767,1.1692254786507075,1.2567044836224428
2023-08-31,1.7147542121,1.624108295,2.9454912638,5.6033676898,0.5125765908,13.2306597287
2022-12-31,2.3919029309210904,-1.2099799279810903,5.201385448882664,3.959498488570496,8.430653462401029,0.6345874392131473
2004-09-30,5.348871180131857,-3.414365811632241,1.4489000609172882,-0.3239282466743239,5.6187364828887105,2.3832033393465326
2004-08-31,5.442097907025856,-3.543428050362291,1.3385032917090396,-0.2832159151748814,4.967567681843944,1.8773154082917878
2009-05-31,2.158196583292152,-0.8784101093556899,10.94072070195889,-2.9177530804827945,9.5612997981834,0.48523718694953033
2012-08-31,4.934760459845488,-4.924760459843145,-98.35306040515863,94.22820317557586,1.042536507424326,1.004844168516006
2014-11-30,3.364745513928223,-3.3547455139685347,40.754862297229984,-45.95759311367137,1.8175138871743006,1.9380491932420962
2020-09-30,1.2857206614573067,-1.8509295203211755,7.875526812013569,-10.542509213696977,3.099749865590118,3.4189322000574487
2009-01-31,5.134646299200098,-3.7019004040654573,-0.03358553642750846,-2.900934577123429,1.9249928998788195,0.7186996627795855
2004-12-31,5.025358169315565,-3.0544203934260765,1.2935687855124278,-0.5646583010622589,6.193300305683442,4.374061144375959
2017-12-31,2.713612685578702,-3.3266126855812503,38.1306017352512,-42.46053433793647,1.8470727116384196,1.9009651538873111
2023-01-31,2.010923092034,-0.29592309203399997,4.407640357026672,3.0929399742112813,11.520210722088015,0.46449150215991586
2022-05-31,2.7915000686084612,-2.250994381335481,-0.35794216875670776,-3.2872293045318486,3.3480277057949457,0.25
2009-03-31,0.01,1.6972139804801394,13.065007496995651,-3.774076291521008,13.205554455706777,0.3685961315511616
2018-07-31,2.90836926554763,-3.384335047743834,38.93179520940301,-41.485060978537994,3.303320840940256,3.356245572482514
2015-08-31,2.165379474056146,-2.2525708855382884,43.32266959803837,-43.03097333126629,4.775477118027222,4.42464147393068
2023-12-31,2.4667807517,1.7638404256,-3.7194271555,2.9551844298,1.5924133672,15.5937716614
2020-03-31,1.3997565060118484,-1.8245609481715674,8.190467509833915,-10.701638848832076,1.8466334076217785,2.1231694422716756
2007-03-31,4.5607984256821394,-1.0260829840621926,0.16933773088446707,-1.822199301324593,0.4821101223706682,2.9421934352491763
2006-10-31,4.137262153757734,-1.2887422344340005,0.17013163272383441,-1.3684188720362969,0.2948694539692161,2.5339440192520994
2021-09-30,1.6478238912176049,-2.342823891208587,5.568396544275132,-8.936320842422333,2.297978180323143,2.6924244171141094
2020-07-31,1.3125543515861862,-1.8245543515804588,7.804597929490657,-10.844761363185915,2.4252762252793967,2.8208049384334384
2022-06-30,2.79103946449,-3.5802779604799997,2.9574352574220026,2.516566358596874,5.578680598083401,0.7953106398744153
