DateId,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
197804,811,931,1771,271,382,173
197805,822,1019,1696,276,391,157
197806,818,1103,1601,273,387,166
197807,695,1080,1723,285,375,167
197808,725,1056,1711,268,376,180
197809,817,1120,1533,276,370,177
197810,736,1162,1565,294,358,167
197811,712,1136,1600,302,365,166
197812,908,906,1635,203,376,246
197901,959,956,1524,213,398,221
197902,1078,1027,1329,189,375,253
197903,1128,1023,1265,197,390,228
197904,1159,893,1357,182,366,260
197905,1147,966,1307,190,377,245
197906,1179,947,1293,187,380,245
197907,1210,1003,1184,198,360,259
197908,1183,974,1231,198,362,256
197909,1302,1031,1055,170,370,274
197910,1389,1017,997,174,374,269
197911,1231,1095,1093,244,337,235
197912,1211,1088,1114,197,362,265
198001,1289,1097,1013,203,348,274
198002,1259,1099,1014,186,346,296
198003,1177,1127,1064,210,318,298
198004,1002,1232,1134,216,308,302
198005,1303,1026,1040,153,336,327
198006,1349,1018,996,150,358,308
198007,1377,1020,967,153,358,312
198008,1313,1009,1054,147,348,315
198009,1354,973,1031,157,346,313
198010,1230,1027,1090,170,344,301
198011,1115,1084,1153,193,342,285
198012,990,1134,1226,208,328,284
198101,1068,1155,1126,198,319,309
198102,1347,988,1038,160,359,300
198103,1391,960,1018,182,348,284
198104,1206,1048,1124,213,331,264
198105,1185,1070,1113,223,335,257
198106,1138,1037,1213,228,338,244
198107,1125,1079,1210,219,355,233
198108,1112,1014,1306,212,356,240
198109,1285,944,1212,193,365,259
198110,1354,944,1158,194,347,276
198111,1461,1094,945,183,343,289
198112,1340,1277,887,222,331,267
198201,1456,1124,952,214,351,258
198202,1547,1029,981,193,347,282
198203,1430,1170,988,208,335,272
198204,1428,1167,1020,211,332,264
198205,1556,1184,917,194,336,271
198206,1618,1158,917,207,331,266
198207,1632,1156,946,189,338,270
198208,1590,1290,896,193,324,277
198209,1561,1356,896,202,331,257
198210,1699,1276,809,191,348,259
198211,1684,1267,851,192,339,264
198212,1725,1174,919,196,330,270
198301,1680,1086,1063,194,343,260
198302,1667,1132,1023,187,334,270
198303,1624,966,1229,202,337,259
198304,1542,966,1294,211,326,265
198305,1467,1057,1282,216,330,255
198306,1438,1129,1219,219,339,247
198307,1273,1029,1457,217,350,242
198308,1283,1052,1442,215,352,233
198309,985,1086,1687,236,357,203
198310,1116,1062,1578,234,353,203
198311,1181,952,1613,239,363,186
198312,1381,958,1457,226,356,213
198401,1421,1005,1385,233,362,211
198402,1615,960,1234,226,353,216
198403,1613,938,1265,240,348,200
198404,1628,972,1263,226,341,223
198405,1736,978,1168,216,351,226
198406,1993,925,1003,191,355,248
198407,2026,927,1010,193,359,247
198408,2137,970,908,171,356,271
198409,2067,1081,943,175,358,271
198410,2164,997,954,164,355,284
198411,2068,1012,1075,181,338,282
198412,2085,1062,1049,159,345,296
198501,2139,1167,976,141,360,301
198502,2294,1136,857,130,358,317
198503,2267,1092,956,145,342,319
198504,2164,1110,1078,146,350,313
198505,2096,1166,1086,141,348,326
198506,2077,1185,1086,137,341,341
198507,2179,1122,1036,132,339,357
198508,2210,1028,1092,140,352,335
198509,2074,998,1243,146,350,338
198510,2058,996,1249,137,360,329
198511,1958,1033,1304,148,359,325
198512,1953,1067,1266,153,360,318
198601,1997,958,1325,148,364,310
198602,2086,1034,1156,139,364,317
198603,2057,1075,1122,137,341,348
198604,2108,1012,1121,136,371,313
198605,2189,973,1084,150,371,307
198606,1970,964,1297,165,367,296
198607,1919,1020,1282,162,362,315
198608,1870,1185,1154,141,356,342
198609,1840,1296,1083,132,377,328
198610,2021,1201,978,135,376,335
198611,2004,1116,1093,147,386,303
198612,2040,1157,1020,148,392,286
198701,1935,1239,1015,132,381,298
198702,2181,1071,902,152,363,301
198703,2095,1183,889,138,367,314
198704,2089,1060,1051,141,371,301
198705,2203,1082,942,165,350,300
198706,2179,1098,1010,183,348,289
198707,2248,1119,1013,184,345,280
198708,2296,1187,954,186,352,266
198709,2129,1326,1003,208,340,267
198710,2285,1199,1020,164,363,274
198711,2107,1294,1128,195,369,254
198712,2196,1252,1116,127,387,308
198801,2096,1207,1306,148,367,313
198802,2295,1145,1184,143,376,304
198803,2291,1256,1084,135,382,317
198804,2444,1172,1059,132,384,309
198805,2290,1238,1150,143,381,301
198806,2195,1262,1240,161,369,283
198807,2133,1328,1284,144,389,284
198808,2182,1304,1301,147,389,282
198809,2125,1260,1432,151,385,270
198810,2115,1269,1464,149,373,278
198811,2166,1159,1514,198,375,229
198812,2236,1141,1426,181,395,227
198901,1996,1150,1615,200,367,224
198902,2157,1145,1447,193,378,214
198903,2172,1094,1462,170,380,231
198904,2354,1004,1349,149,389,246
198905,2303,1111,1278,168,356,266
198906,2286,1093,1297,159,354,273
198907,2265,1145,1232,138,381,271
198908,2352,1108,1186,127,377,288
198909,2528,1067,1042,121,376,294
198910,2461,1058,1089,117,367,304
198911,2264,1151,1201,115,383,295
198912,2225,1136,1237,116,358,314
199001,2227,1231,1127,107,353,333
199002,2221,1318,1030,101,367,316
199003,2167,1350,1049,94,366,322
199004,2148,1385,1003,88,372,323
199005,2149,1345,1031,119,358,310
199006,1968,1414,1122,119,369,303
199007,2117,1265,1087,106,367,317
199008,1983,1266,1219,120,364,304
199009,1931,1414,1104,126,356,305
199010,1892,1480,1070,121,361,304
199011,1932,1453,1034,121,364,305
199012,1843,1573,1015,114,358,324
199101,1947,1460,1034,98,369,333
199102,2202,1331,888,96,378,339
199103,2301,1179,938,96,374,338
199104,2231,1238,950,107,354,351
199105,2165,1225,1011,128,356,333
199106,1957,1264,1184,130,360,329
199107,2119,1167,1122,129,370,332
199108,1981,1235,1177,128,381,326
199109,2041,1157,1190,129,369,340
199110,1983,1165,1235,133,357,344
199111,1831,1184,1349,162,354,318
199112,1706,1171,1476,161,378,303
199201,1537,1093,1687,198,349,307
199202,1655,1171,1471,143,377,331
199203,1517,1035,1721,166,376,317
199204,1469,1113,1683,169,376,313
199205,1550,1062,1652,169,392,296
199206,1600,1025,1616,165,393,310
199207,1665,970,1607,164,378,330
199208,1643,1006,1570,170,385,322
199209,1677,1009,1542,150,401,320
199210,1768,966,1489,151,411,313
199211,1795,1005,1425,151,412,319
199212,1906,964,1370,158,404,334
199301,1677,924,1648,184,416,305
199302,1918,986,1372,148,389,359
199303,1948,952,1407,163,402,329
199304,1948,1115,1286,155,413,332
199305,1823,1135,1417,166,432,301
199306,1863,1082,1438,186,417,316
199307,1766,1094,1544,184,446,292
199308,1726,1133,1547,195,433,305
199309,1647,1174,1594,211,430,305
199310,1736,1078,1598,226,417,312
199311,1585,1150,1717,234,405,315
199312,1610,1098,1776,225,419,296
199401,1680,1067,1747,228,437,296
199402,1846,1102,1544,211,424,325
199403,1661,1238,1610,228,422,317
199404,1634,1237,1676,247,416,315
199405,1638,1248,1677,237,430,316
199406,1741,1178,1666,235,446,313
199407,1725,1195,1714,239,435,313
199408,1775,1224,1665,246,436,317
199409,1831,1269,1588,239,437,318
199410,1935,1406,1368,230,456,320
199411,1998,1363,1389,235,430,342
199412,2074,1335,1406,206,456,355
199501,1971,1319,1586,197,484,352
199502,2190,1253,1450,194,470,359
199503,2167,1350,1408,189,460,377
199504,2311,1230,1414,179,454,406
199505,2184,1336,1435,168,451,425
199506,2237,1227,1531,176,470,398
199507,2370,1225,1400,189,456,423
199508,2089,1340,1548,177,473,423
199509,2000,1332,1651,172,483,427
199510,2084,1247,1663,161,485,436
199511,2026,1314,1664,183,454,444
199512,2052,1292,1672,173,452,458
199601,2011,1339,1655,152,469,474
199602,2181,1206,1595,178,460,451
199603,2142,1328,1518,181,474,436
199604,2039,1380,1590,196,453,441
199605,2084,1363,1567,199,476,429
199606,1978,1322,1738,217,450,416
199607,1947,1331,1787,221,477,399
199608,2092,1323,1667,217,485,379
199609,2273,1382,1456,215,474,404
199610,2285,1389,1417,236,456,423
199611,2344,1403,1375,239,488,398
199612,2336,1366,1451,243,489,403
199701,2345,1459,1383,241,475,429
199702,2392,1410,1374,259,489,408
199703,2383,1431,1394,253,502,392
199704,2480,1344,1418,254,476,414
199705,2671,1181,1428,264,483,403
199706,2956,1249,1129,263,473,431
199707,2850,1276,1239,268,459,452
199708,2755,1368,1262,268,466,437
199709,2856,1363,1185,265,467,437
199710,2709,1298,1401,287,492,388
199711,2456,1366,1639,294,492,382
199712,2289,1302,1914,295,515,356
199801,2429,1301,1759,259,508,397
199802,2680,1264,1520,263,487,418
199803,2534,1327,1574,269,489,430
199804,2470,1495,1428,259,469,464
199805,2321,1401,1658,263,487,437
199806,2254,1432,1699,256,494,420
199807,2264,1449,1622,234,502,460
199808,2278,1521,1530,238,476,481
199809,2275,1671,1377,197,463,511
199810,2470,1672,1119,204,483,510
199811,2505,1750,965,181,501,521
199812,2614,1673,946,172,487,548
199901,2446,1618,1105,169,497,572
199902,2452,1641,1014,168,494,590
199903,2006,1865,1221,185,462,599
199904,2019,1854,1184,158,462,601
199905,2172,1904,983,139,470,601
199906,2490,1635,917,139,468,606
199907,2374,1542,1111,160,477,566
199908,2455,1426,1130,165,477,551
199909,2186,1458,1319,182,471,544
199910,1968,1553,1376,195,469,537
199911,1754,1500,1570,221,451,545
199912,1720,1598,1415,181,459,602
200001,1492,1531,1644,201,457,607
200002,1645,1540,1452,193,453,624
200003,1378,1555,1574,218,446,698
200004,1013,1500,2028,268,392,634
200005,1173,1498,1934,187,420,616
200006,1432,1496,1686,193,411,609
200007,1623,1488,1453,179,428,652
200008,1510,1571,1528,202,391,629
200009,1669,1517,1386,209,387,646
200010,1660,1593,1320,190,406,631
200011,1691,1627,1258,216,425,550
200012,2070,1498,1033,215,428,507
200101,2213,1519,834,262,443,444
200102,2614,1272,628,294,426,419
200103,2781,1216,554,325,404,377
200104,2607,1202,771,317,415,337
200105,2434,1192,904,361,399,337
200106,2328,1214,969,309,437,322
200107,2461,1161,867,345,413,320
200108,2344,1159,1008,325,409,307
200109,2340,1071,1079,325,397,308
200110,2272,1141,1115,309,396,282
200111,2084,1135,1246,339,397,294
200112,1825,1115,1472,322,429,275
200201,1596,1074,1714,312,437,272
200202,1963,1050,1333,296,429,284
200203,1760,1006,1575,267,405,306
200204,1712,1168,1423,270,426,292
200205,1731,1048,1502,281,437,241
200206,1763,1088,1415,298,412,243
200207,1888,1021,1344,285,397,263
200208,1859,963,1384,310,422,228
200209,1799,1012,1361,263,391,289
200210,1749,1129,1259,264,403,274
200211,1796,988,1297,279,401,274
200212,1730,1024,1300,280,391,287
200301,1771,898,1376,237,410,297
200302,1765,957,1278,252,407,285
200303,1578,912,1490,219,416,305
200304,1576,903,1438,203,413,329
200305,1520,974,1408,176,395,368
200306,1443,974,1453,183,409,355
200307,1281,1041,1530,143,400,406
200308,1159,1005,1639,190,428,342
200309,1006,1009,1749,199,419,341
200310,1057,1011,1687,204,390,356
200311,917,1050,1760,226,419,314
200312,984,968,1750,249,395,315
200401,894,1026,1772,241,398,307
200402,1037,1043,1580,252,423,284
200403,926,1069,1656,285,393,272
200404,976,1082,1571,283,412,257
200405,975,1049,1592,291,389,257
200406,1096,994,1502,301,392,251
200407,1232,994,1368,242,416,272
200408,1447,945,1170,257,412,256
200409,1522,957,1081,253,419,245
200410,1709,929,915,253,407,258
200411,1680,909,958,273,402,241
200412,1639,976,935,256,401,250
200501,1603,932,1000,267,398,260
200502,1718,876,930,239,413,266
200503,1676,963,885,240,403,276
200504,1707,998,820,231,423,261
200505,1730,999,784,236,402,277
200506,1697,1060,751,239,400,279
200507,1700,1022,788,215,406,296
200508,1582,1031,897,235,399,283
200509,1502,1051,939,230,403,281
200510,1529,1034,927,219,385,307
200511,1516,1076,884,236,384,298
200512,1546,1042,878,183,419,323
200601,1604,1025,843,188,409,318
200602,1614,967,873,181,399,327
200603,1442,1024,982,212,381,317
200604,1351,1017,1076,188,408,307
200605,1201,1106,1132,231,396,274
200606,1234,1069,1142,214,403,268
200607,1296,1077,1086,190,402,291
200608,1394,1020,1048,190,405,279
200609,1427,1063,982,191,394,291
200610,1432,1070,974,197,397,278
200611,1486,1021,960,208,393,281
200612,1458,990,1024,231,393,246
200701,1525,1013,931,234,390,237
200702,1522,1052,850,233,383,260
200703,1641,970,819,217,376,269
200704,1656,1017,761,196,383,283
200705,1622,1031,760,207,372,277
200706,1710,908,783,187,389,289
200707,1813,815,775,182,392,287
200708,1674,880,832,192,392,277
200709,1575,947,843,169,388,302
200710,1639,926,785,178,379,310
200711,1635,935,760,158,377,333
200712,1547,1005,766,149,382,339
200801,1567,1071,674,134,366,364
200802,1505,1110,705,138,360,357
200803,1643,987,683,134,367,351
200804,1536,1116,648,122,368,359
200805,1523,1089,689,138,367,340
200806,1490,1188,626,125,362,356
200807,1563,1169,572,115,378,364
200808,1547,1143,603,135,375,344
200809,1530,1096,673,152,371,330
200810,1585,983,706,171,385,290
200811,1584,940,726,185,373,313
200812,1403,1006,830,152,390,335
200901,1389,1070,774,136,380,354
200902,1389,1060,772,130,388,342
200903,1290,1170,743,116,384,371
200904,1219,1134,826,97,381,390
200905,1159,1171,842,112,390,351
200906,1217,1085,862,140,396,316
200907,1257,880,992,159,382,325
200908,1194,946,975,146,393,330
200909,1252,866,1002,144,404,306
200910,1254,887,962,154,397,305
200911,1314,836,937,190,391,274
200912,1202,881,973,210,397,244
201001,1221,866,940,201,396,261
201002,1235,942,830,226,407,228
201003,1229,917,846,267,386,205
201004,1229,871,856,273,378,216
201005,1288,769,880,220,406,240
201006,1274,807,837,236,406,231
201007,1308,830,766,229,426,224
201008,1243,731,906,212,400,260
201009,1253,806,815,206,380,285
201010,1226,849,787,183,386,303
201011,1276,768,830,203,378,277
201012,1186,781,899,220,368,271
201101,1180,826,833,215,363,279
201102,1205,808,817,226,367,268
201103,1217,765,843,199,361,296
201104,1234,785,796,183,372,305
201105,1275,782,738,172,366,321
201106,1338,785,670,168,374,314
201107,1337,780,647,166,400,290
201108,1281,781,702,161,388,304
201109,1186,825,747,186,404,268
201110,1202,762,778,158,391,319
201111,1073,881,797,144,366,341
201112,1184,868,679,141,382,332
201201,1157,949,628,133,376,339
201202,1168,932,619,167,372,314
201203,1159,900,647,162,380,318
201204,1158,851,682,138,380,346
201205,1106,811,760,166,377,332
201206,1127,758,774,175,370,338
201207,1057,839,756,171,374,334
201208,1041,839,769,166,376,332
201209,1094,769,770,169,390,315
201210,1152,764,709,202,402,267
201211,1041,744,816,196,398,273
201212,1022,795,785,201,400,269
201301,1076,760,744,190,405,274
201302,1146,724,706,190,408,266
201303,1154,692,734,197,414,254
201304,1174,737,655,200,399,273
201305,1150,706,703,207,402,259
201306,1248,663,642,199,417,254
201307,1173,737,618,206,403,268
201308,1105,718,705,220,412,239
201309,1091,690,724,241,395,253
201310,1053,708,738,197,398,286
201311,981,755,767,194,434,251
201312,964,735,779,207,411,269
201401,909,734,833,202,409,274
201402,943,710,814,207,407,274
201403,847,761,848,207,393,288
201404,849,789,816,200,382,309
201405,842,789,818,224,386,283
201406,988,733,747,190,409,294
201407,1097,734,644,184,392,325
201408,1105,686,677,178,411,316
201409,1093,719,658,158,418,328
201410,1143,725,619,152,411,343
201411,1051,773,658,129,423,360
201412,1085,780,608,134,421,368
201501,1048,866,553,114,399,412
201502,1135,807,525,136,425,373
201503,1064,851,560,144,414,370
201504,1087,853,544,129,375,422
201505,1008,834,658,165,387,371
201506,1025,800,683,149,407,374
201507,1006,856,638,148,403,398
201508,975,788,731,164,422,378
201509,960,843,697,155,395,407
201510,982,802,706,164,437,363
201511,971,758,771,146,416,391
201512,998,731,787,150,431,369
201601,1011,707,792,149,413,391
201602,984,700,809,156,406,385
201603,1014,667,812,149,432,357
201604,1018,723,754,139,410,374
201605,1067,756,673,161,399,360
201606,1099,670,716,161,424,333
201607,1136,727,644,151,397,364
201608,1083,828,596,186,426,306
201609,1070,847,593,181,414,310
201610,1112,764,610,213,422,275
201611,1007,768,709,208,429,271
201612,1090,712,669,186,425,301
201701,1054,696,718,248,397,262
201702,977,720,759,276,405,224
201703,981,691,770,260,407,242
201704,971,645,812,227,418,265
201705,980,587,854,202,413,292
201706,931,621,860,215,405,290
201707,957,619,832,191,381,340
201708,932,641,845,179,399,327
201709,982,636,800,162,393,349
201710,1009,682,712,146,401,362
201711,968,650,797,170,419,307
201712,955,754,685,165,394,341
201801,982,806,592,136,417,347
201802,977,816,582,137,439,330
201803,1026,747,586,142,409,357
201804,1013,789,570,143,404,353
201805,1016,706,651,153,395,352
201806,961,751,662,197,393,312
201807,931,769,686,196,387,319
201808,938,745,707,194,403,300
201809,972,729,680,220,392,290
201810,976,733,666,191,384,335
201811,979,723,674,193,396,317
201812,968,722,681,176,411,330
201901,982,771,617,155,400,357
201902,952,801,617,162,403,345
201903,971,788,607,174,392,336
201904,1018,769,570,153,392,363
201905,1005,818,533,132,400,377
201906,1089,839,441,126,378,407
201907,1016,930,462,115,391,402
201908,1053,899,449,103,401,418
201909,1126,871,400,94,409,417
201910,1053,936,417,102,409,403
201911,1145,813,439,122,410,391
201912,1101,802,487,125,424,371
202001,1119,736,518,134,436,348
202002,1122,736,505,126,417,372
202003,1081,835,445,108,415,397
202004,1068,745,521,116,423,409
202005,912,911,520,100,385,454
202006,993,835,513,93,384,473
202007,919,862,563,92,383,477
202008,860,821,672,104,379,460
202009,905,775,659,120,382,443
202010,912,754,671,119,365,469
202011,893,722,728,122,382,445
202012,906,744,699,137,374,434
202101,977,652,720,136,386,419
202102,979,641,723,162,376,408
202103,911,578,858,198,382,368
202104,811,746,794,288,408,241
202105,791,830,734,288,417,220
202106,863,811,680,288,423,212
202107,969,763,640,322,413,211
202108,885,765,723,322,421,214
202109,950,700,750,304,423,221
202110,955,722,731,319,412,219
202111,956,772,702,293,431,230
202112,1066,698,665,281,402,280
202201,1164,689,595,251,429,290
202202,1419,580,476,247,425,297
202203,1487,581,446,237,438,294
202204,1447,676,472,213,438,304
202205,1398,775,484,203,444,299
202206,1461,799,435,185,448,312
202207,1566,782,407,219,451,310
202208,1502,713,600,225,437,312
202209,1543,794,502,222,434,314
202210,1522,868,472,226,427,327
202211,1505,710,685,219,412,341
202212,1491,930,532,228,411,325
202301,1509,882,536,210,426,320
202302,1500,867,572,213,421,321
202303,1518,869,566,207,438,299
202304,1511,804,618,213,439,289
202305,1495,852,588,184,427,339
202306,1481,808,628,171,441,337
202307,1536,767,625,173,426,348
202308,1540,764,596,186,435,328
202309,1620,739,535,205,426,315
202310,1650,730,510,210,421,309
202311,1601,719,546,186,442,311
202312,1535,694,608,192,431,321
202401,1529,723,556,180,445,321
202402,1494,766,550,180,431,329
202403,1527,735,534,144,428,365
202404,1419,766,602,184,401,337
202405,1428,775,572,195,402,318
202406,1497,740,515,195,429,293
202407,1462,706,566,216,408,303
202408,1429,777,521,162,400,354
202409,1395,671,636,205,425,290
202410,1407,656,635,191,418,303
202411,1417,655,612,187,409,316
202412,1354,687,628,187,418,304
202501,1368,707,566,188,401,318
202502,1284,685,657,214,391,300
202503,1322,640,649,224,370,311
202504,1292,648,662,189,386,325
202505,1309,612,637,186,392,326
202506,1258,632,652,153,395,353
202507,1221,698,620,173,389,334
202508,1238,683,594,156,369,367
